id_operacion,fecha_operacion,precio,public_id,codigo_frente_agua,codigo_vista,codigo_condicion,codigo_calidad,anio_renovacion,agente_id,codigo_pais
1000102,20/04/2023,300000.00,11635597,0,0,3,7,0,8,1
1000102,14/09/2022,280000.00,10032321,0,0,3,7,0,4,1
1200019,06/05/2022,647500.00,13027088,0,0,4,8,0,11,1
1200021,09/08/2022,400000.00,14263875,0,0,3,7,0,9,1
2800031,30/03/2023,235000.00,13163414,0,0,4,6,0,11,1
3600057,17/03/2023,402500.00,12862199,0,0,3,7,2013,1,10
3600072,28/03/2023,897600.00,10200466,0,0,5,7,0,3,5
3800008,22/02/2023,178000.00,11639051,0,0,3,7,0,9,1
5200087,07/07/2022,487000.00,10506830,0,0,3,9,0,9,1
6200017,10/11/2022,370920.00,10604932,0,0,4,5,0,3,9
7200080,02/11/2022,239000.00,12057327,0,0,2,6,0,8,1
7200179,14/10/2022,150000.00,12690863,0,0,3,6,0,5,1
7200179,22/04/2023,175000.00,14853541,0,0,3,6,0,1,9
7400062,19/05/2022,299800.00,13491327,0,0,4,6,0,1,10
7600057,03/08/2022,520000.00,13989971,0,0,4,7,0,11,1
7600065,03/06/2022,465000.00,13877736,0,0,3,9,0,9,1
7600125,16/12/2022,630000.00,13368715,0,0,3,7,0,11,1
7600136,16/07/2022,411000.00,11107577,0,0,3,9,0,8,1
9000025,01/12/2022,496000.00,13430244,0,0,4,7,1973,11,5
11200070,19/07/2022,570000.00,13694202,0,0,3,8,0,5,1
11200290,07/06/2022,546000.00,12910993,0,0,3,8,0,7,4
11200400,21/09/2022,617000.00,11735476,0,0,3,8,0,7,1
11300120,28/06/2022,635000.00,10598579,0,0,3,8,0,9,10
11500240,26/04/2023,872750.00,11617167,0,0,3,10,0,11,1
11500890,10/03/2023,843000.00,13179737,0,0,3,10,0,1,1
11501160,15/06/2022,837700.00,14360491,0,0,3,10,0,11,2
11501310,19/11/2022,715000.00,12539725,0,0,3,10,0,10,1
11501330,31/08/2022,795000.00,14333988,0,0,3,10,0,11,1
11510310,03/09/2022,835000.00,14883994,0,0,3,9,0,8,1
11510700,17/05/2022,755000.00,10740137,0,0,3,9,0,11,3
11520030,22/06/2022,640000.00,13917957,0,0,3,9,0,10,1
11520200,13/10/2022,750000.00,14444384,0,0,3,9,0,4,1
11520370,27/12/2022,738000.00,13809739,0,0,3,9,0,11,2
11520640,30/07/2022,810000.00,13310183,0,0,3,9,0,9,1
11900140,07/05/2022,335280.00,10367503,0,0,3,8,0,3,1
13001215,03/03/2023,171600.00,12151001,0,0,4,7,0,3,1
13001795,12/10/2022,319500.00,14568022,0,0,4,7,0,4,2
13001991,31/08/2022,207000.00,11989313,0,0,3,7,0,2,1
13002460,16/03/2023,205000.00,14598980,0,0,3,6,0,7,1
13002495,05/07/2022,295000.00,14652133,0,0,4,7,0,1,1
16000015,15/04/2023,219950.00,14331447,0,0,3,6,0,11,1
16000200,22/10/2022,250000.00,12187226,0,0,4,7,1983,11,1
16000397,03/12/2022,189000.00,14333708,0,0,4,7,0,2,1
16000435,14/03/2023,288420.00,11166802,0,0,4,7,0,3,9
16000545,10/03/2023,250000.00,13580010,0,0,5,6,0,11,1
23500180,03/05/2022,570000.00,10891085,0,0,3,8,0,11,1
23500190,06/10/2022,515000.00,11712396,0,0,3,8,0,1,1
23500220,13/10/2022,550120.00,13716320,0,0,3,8,0,1,1
23520190,14/03/2023,490000.00,13703764,0,0,4,7,0,4,1
23520380,07/09/2022,539000.00,12242314,0,0,4,7,0,11,1
31000165,09/09/2022,1490000.00,12479804,0,2,3,10,2010,8,1
31200020,17/03/2023,1038000.00,14212536,0,0,4,8,0,11,1
34000005,16/06/2022,343566.00,10490394,0,0,3,7,0,6,10
34001160,17/09/2022,590000.00,11521907,0,1,4,7,0,11,1
34001304,08/04/2023,480000.00,14282834,0,0,3,7,0,5,1
34001540,21/04/2023,573300.00,13970193,0,2,3,7,0,11,2
34001765,23/03/2023,699950.00,12837122,0,1,4,8,0,11,1
37000335,12/08/2022,446450.00,13315332,0,0,5,7,0,6,2
37000435,12/02/2023,325000.00,13686596,0,0,4,7,0,1,6
40000228,13/10/2022,221900.00,12293199,0,0,3,6,0,1,1
40000235,12/04/2023,380000.00,10590036,0,0,3,7,0,10,1
40000362,04/05/2022,78000.00,13099955,0,0,1,5,0,6,1
40000471,02/06/2022,170000.00,12050350,0,0,3,8,0,7,1
40000553,02/03/2023,250000.00,14791811,0,0,3,6,0,2,1
40000669,17/03/2023,499950.00,14944039,0,0,3,9,0,11,9
40001065,27/05/2022,250000.00,12806196,0,0,3,6,0,11,2
41000454,13/08/2022,130000.00,11632787,0,0,3,5,0,11,1
42000006,08/09/2022,235000.00,11716968,0,0,5,6,0,4,1
42000065,03/03/2023,355000.00,11491599,0,0,4,7,0,2,1
