id_operacion,fecha_operacion,precio,public_id,codigo_frente_agua,codigo_vista,codigo_condicion,agente_id,codigo_pais,año,año_mes,mes,vista,condición,país,agente,anio_construc,latitud,longitud,codigo_postal,m2_construccion,m2_terreno,m2_sobre_calle,m2_sotano,pisos,recamaras,banios,anio_renovacion
1200021,09/08/2022,400000,14263875,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1952,47.4434,-122.347,98166,445,13106.4,1460,0,1,3,1,0
3800008,22/02/2023,178000,11639051,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.4938,-122.262,98178,606.6,5547.4,1990,0,1,5,1.5,0
3800008,22/02/2023,178000,11639051,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.4938,-122.262,98178,606.6,5547.4,1990,0,1,5,1.5,0
5200087,07/07/2022,487000,10506830,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.5423,-122.302,98108,774.2,1524.3,2540,0,2,4,2.5,0
7600065,03/06/2022,465000,13877736,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2014,47.6018,-122.297,98122,466.3,379.5,1050,480,2,3,2.25,0
11520640,30/07/2022,810000,13310183,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1996,47.6979,-122.112,98052,917.4,3185.2,3010,0,2,4,2.75,0
87000213,11/06/2022,129000,14420573,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1950,47.4492,-122.2,98055,350.5,9200.1,1150,0,1,2,1,0
98020300,01/02/2023,759000,12338290,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.5825,-121.97,98075,1063.8,2508.5,3490,0,2,5,2.75,0
98020300,01/02/2023,759000,12338290,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.5825,-121.97,98075,1063.8,2508.5,3490,0,2,5,2.75,0
100100050,10/11/2022,275000,13648675,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1955,47.7748,-122.304,98155,402.3,3380.2,1320,0,1,3,1,0
