id_persona,clave_sobrevivencia,nombre,sexo,clase_viaje,id_bote,id_cuerpo,edad,cantidad_parientes,cantidad_familiares,acompañantes,rango_edad,sobrevivencia,clase,acompañada
10000,0,"Andrews, Mr. Thomas Jr",HOMBRE,1,,,39.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10001,0,"Chisholm, Mr. Roderick Robert Crispin",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10002,0,"Fry, Mr. Richard",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10003,0,"Harrison, Mr. William",HOMBRE,1,,110.0,40.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10004,1,"Ismay, Mr. Joseph Bruce",HOMBRE,1,C,,49.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10005,0,"Parr, Mr. William Henry Marsh",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10006,0,"Reuchlin, Jonkheer. John George",HOMBRE,1,,,38.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10007,0,"Carlsson, Mr. Frans Olof",HOMBRE,1,,,33.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10008,0,"Colley, Mr. Edward Pomeroy",HOMBRE,1,,,47.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10009,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",MUJER,1,2,,55.0,2,0,2,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10010,1,"Omont, Mr. Alfred Fernand",HOMBRE,1,7,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10011,1,"Leader, Dr. Alice (Farnham)",MUJER,1,8,,49.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10012,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",MUJER,1,8,,48.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10013,0,"Birnbaum, Mr. Jakob",HOMBRE,1,,148.0,25.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10014,0,"Case, Mr. Howard Brown",HOMBRE,1,,,49.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10015,0,"Jones, Mr. Charles Cresson",HOMBRE,1,,80.0,46.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10016,0,"Julian, Mr. Henry Forbes",HOMBRE,1,,,50.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10017,0,"Maguire, Mr. John Edward",HOMBRE,1,,,30.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10018,0,"Nicholson, Mr. Arthur Ernest",HOMBRE,1,,263.0,64.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10019,1,"Salomon, Mr. Abraham L",HOMBRE,1,1,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10020,0,"Smith, Mr. Richard William",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10021,1,"Newsom, Miss. Helen Monypeny",MUJER,1,5,,19.0,0,2,2,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10022,1,"Calderhead, Mr. Edward Pennington",HOMBRE,1,5,,42.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10023,1,"Mcgough, Mr. James Robert",HOMBRE,1,7,,36.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10024,1,"Silverthorne, Mr. Spencer Victor",HOMBRE,1,5,,35.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10025,1,"Flynn, Mr. John Irwin (""Irving"")",HOMBRE,1,5,,36.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10026,1,"Anderson, Mr. Harry",HOMBRE,1,3,,48.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10027,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",HOMBRE,1,D,,28.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10028,1,"Bonnell, Miss. Elizabeth",MUJER,1,8,,58.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10029,0,"Borebank, Mr. John James",HOMBRE,1,,,42.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10030,1,"Bradley, Mr. George (""George Arthur Brayton"")",HOMBRE,1,9,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10031,0,"Butt, Major. Archibald Willingham",HOMBRE,1,,,45.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10032,0,"Crafton, Mr. John Bertram",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10033,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",MUJER,1,7,,64.0,1,1,2,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10034,1,"Daly, Mr. Peter Denis ",HOMBRE,1,5 9,,51.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10035,0,"Franklin, Mr. Thomas Parham",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10036,1,"Homer, Mr. Harry (""Mr E Haven"")",HOMBRE,1,15,,35.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10037,0,"Klaber, Mr. Herman",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10038,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",HOMBRE,1,,,42.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
