public_id,anio_construccion,latitud,longitud,codigo_postal,m2_construccion,m2_terreno,m2_sobre_calle,m2_sotano,pisos,recamaras,banios,anio_renovacion
11635597,1991,47.3262,-122.214,98002,731.5,2856.9,2400,0,2,6,3,0
10032321,1991,47.3262,-122.214,98002,731.5,2856.9,2400,0,2,6,3,0
13027088,1947,47.4444,-122.351,98166,627.9,7935.8,1160,900,1,4,1.75,0
14263875,1952,47.4434,-122.347,98166,445,13106.4,1460,0,1,3,1,0
13163414,1930,47.4783,-122.265,98168,435.9,2316.2,1010,420,1.5,3,1,0
12862199,1951,47.5803,-122.294,98144,502.9,1068,760,890,1,4,2,2013
10200466,1951,47.5801,-122.294,98144,676.7,1618.5,1170,1050,1,4,2.75,0
11639051,1960,47.4938,-122.262,98178,606.6,5547.4,1990,0,1,5,1.5,0
10506830,2005,47.5423,-122.302,98108,774.2,1524.3,2540,0,2,4,2.5,0
10604932,1945,47.4023,-122.273,98032,408.4,6503.2,1340,0,1.5,3,1,0
12057327,1924,47.4836,-122.214,98055,603.5,3226.3,1980,0,1.5,4,2,0
12690863,1925,47.484,-122.211,98055,256,3886.2,840,0,1,2,1,0
14853541,1925,47.484,-122.211,98055,256,3886.2,840,0,1,2,1,0
13491327,1925,47.5303,-122.288,98118,240.8,1597.2,790,0,1,2,1,0
13989971,1902,47.6029,-122.302,98122,429.8,823,1410,0,2,3,2,0
13877736,2014,47.6018,-122.297,98122,466.3,379.5,1050,480,2,3,2.25,0
13368715,1901,47.6025,-122.313,98122,920.5,1463,3020,0,2,5,1,0
11107577,2007,47.6023,-122.314,98122,344.4,349.9,800,330,2,2,2,0
13430244,1941,47.68,-122.304,98115,432.8,1412.7,1420,0,2,2,1,1973
13694202,1998,47.6181,-122.138,98007,466.3,1004.6,1530,0,2,3,2.5,0
12910993,1998,47.6179,-122.141,98007,466.3,1055.8,1530,0,2,3,2.5,0
11735476,1998,47.6176,-122.14,98007,582.2,1367.9,1910,0,2,3,2.5,0
10598579,2005,47.7277,-122.207,98034,1021.1,1221.3,2550,800,2,3,2.5,0
11617167,1991,47.6944,-122.102,98052,874.8,4174.2,2870,0,2,3,2.5,0
13179737,1991,47.6954,-122.103,98052,954,2667,3130,0,2,3,2.5,0
14360491,1994,47.696,-122.102,98052,917.4,3843.8,3010,0,2,5,2.75,0
12539725,1994,47.6971,-122.101,98052,932.7,2760,2460,600,2,3,3.25,0
14333988,1994,47.6968,-122.102,98052,972.3,3116,2560,630,2,3,3.5,0
14883994,1993,47.6993,-122.102,98052,954,4088,2140,990,2,4,2.75,0
10740137,1993,47.6972,-122.104,98052,810.8,3185.8,2660,0,2,4,2.5,0
13917957,1997,47.6993,-122.115,98052,713.5,2924.3,2341,0,2,4,2.5,0
14444384,1997,47.6989,-122.111,98052,920.5,3999.6,2540,480,2,4,2.5,0
13809739,1995,47.6972,-122.116,98052,798.6,2777.3,2620,0,2,3,2.5,0
13310183,1996,47.6979,-122.112,98052,917.4,3185.2,3010,0,2,4,2.75,0
10367503,2003,47.3755,-122.136,98042,563.9,1401.2,1850,0,2,3,2.5,0
12151001,1913,47.5231,-122.332,98108,335.3,1554.5,1100,0,1,3,1,0
14568022,1907,47.523,-122.332,98108,762,1554.5,1420,1080,1.5,4,2.75,0
11989313,2005,47.5245,-122.33,98108,463.3,777.2,1520,0,2,3,2.5,0
14598980,1915,47.5211,-122.33,98108,530.4,1554.5,580,1160,1,2,1.75,0
14652133,1908,47.5215,-122.33,98108,499.9,2201.3,1640,0,2,3,1.5,0
14331447,1985,47.3115,-122.209,98002,326.1,2012,1070,0,1,3,1.5,0
12187226,1918,47.311,-122.21,98002,499.9,1347.2,1640,0,2,3,2.25,1983
14333708,1921,47.3089,-122.21,98002,365.8,3002.3,1200,0,1,2,1,0
11166802,1949,47.3098,-122.21,98002,487.7,2731.3,1390,210,1,2,1,0
13580010,1914,47.3098,-122.209,98002,402.3,3417.4,1320,0,1,4,1,0
10891085,1975,47.6912,-122.115,98052,612.6,1828.8,1330,680,1,3,2.25,0
11712396,1975,47.6913,-122.115,98052,752.9,2377.4,1470,1000,1,4,2.25,0
13716320,1975,47.6919,-122.115,98052,798.6,2453.6,1520,1100,1,5,2.5,0
13703764,1978,47.6975,-122.12,98052,448.1,2971.8,1470,0,1,3,1.75,0
12242314,1978,47.6989,-122.12,98052,545.6,3005.3,1410,380,1,3,1.75,0
12479804,1958,47.5738,-122.215,98040,1103.4,2383.8,2790,830,2,5,3.5,2010
14212536,1956,47.5709,-122.214,98040,929.6,2713.9,1650,1400,1,5,2.75,0
10490394,1954,47.5312,-122.392,98136,335.3,1280.2,1100,0,1,2,1,0
11521907,1959,47.5289,-122.391,98136,923.5,2857.2,2100,930,1,3,2,0
14282834,1959,47.5305,-122.391,98136,682.8,1676.4,1490,750,1,5,2.25,0
13970193,1951,47.531,-122.39,98136,393.2,2011.7,870,420,1,2,1.75,0
12837122,1977,47.53,-122.388,98136,679.7,1664.2,1430,800,1,3,3.25,0
13315332,1960,47.5144,-122.379,98126,451.1,2361.9,1480,0,1,3,1.5,0
